AverageTemperature,City,Year,Month
27.234,Acapulco,1869,6
27.641,Acapulco,1869,7
27.045,Acapulco,1869,8
27.31,Acapulco,1869,9
26.432,Acapulco,1869,10
27.499,Acapulco,1869,11
24.39,Acapulco,1869,12
24.954,Acapulco,1870,1
23.98,Acapulco,1870,2
24.774,Acapulco,1870,3
24.448,Acapulco,1870,4
26.399,Acapulco,1870,5
27.705,Acapulco,1870,6
27.498,Acapulco,1870,7
27.148,Acapulco,1870,8
27.875,Acapulco,1870,9
26.597,Acapulco,1870,10
26.006,Acapulco,1870,11
23.566,Acapulco,1870,12
24.055,Acapulco,1871,1
24.308,Acapulco,1871,2
24.009,Acapulco,1871,3
24.87,Acapulco,1871,4
25.671,Acapulco,1871,5
26.832,Acapulco,1871,6
27.317,Acapulco,1871,7
27.963,Acapulco,1871,8
27.433,Acapulco,1871,9
26.183,Acapulco,1871,10
26.599,Acapulco,1871,11
25.545,Acapulco,1871,12
23.619,Acapulco,1872,1
24.287,Acapulco,1872,2
24.48,Acapulco,1872,3
24.939,Acapulco,1872,4
26.904,Acapulco,1872,5
27.404,Acapulco,1872,6
27.817,Acapulco,1872,7
27.21,Acapulco,1872,8
27.546,Acapulco,1872,9
26.719,Acapulco,1872,10
25.159,Acapulco,1872,11
24.712,Acapulco,1872,12
23.573,Acapulco,1873,1
25.98,Acapulco,1873,2
24.488,Acapulco,1873,3
23.823,Acapulco,1873,4
26.709,Acapulco,1873,5
26.957,Acapulco,1873,6
27.177,Acapulco,1873,7
26.953,Acapulco,1873,8
26.39,Acapulco,1873,9
26.57,Acapulco,1873,10
25.156,Acapulco,1873,11
26.533,Acapulco,1873,12
24.822,Acapulco,1874,1
25.483,Acapulco,1874,2
24.867,Acapulco,1874,3
23.531,Acapulco,1874,4
25.333,Acapulco,1874,5
26.52,Acapulco,1874,6
26.698,Acapulco,1874,7
27.742,Acapulco,1874,8
26.562,Acapulco,1874,9
26.243,Acapulco,1874,10
26.679,Acapulco,1874,11
26.21,Acapulco,1874,12
23.332,Acapulco,1875,1
23.837,Acapulco,1875,2
24.51,Acapulco,1875,3
23.995,Acapulco,1875,4
25.958,Acapulco,1875,5
27.21,Acapulco,1875,6
27.409,Acapulco,1875,7
27.293,Acapulco,1875,8
25.94,Acapulco,1875,9
26.221,Acapulco,1875,10
26.493,Acapulco,1875,11
25.938,Acapulco,1875,12
25.711,Acapulco,1876,1
24.416,Acapulco,1876,2
24.23,Acapulco,1876,3
24.433,Acapulco,1876,4
25.654,Acapulco,1876,5
27.148,Acapulco,1876,6
27.266,Acapulco,1876,7
27.266,Acapulco,1876,8
